id,question,choice1,choice2,choice3,choice4,solution
14,Koja od navedenih biljaka je istovremeno i korov i kulturna biljka?,crna zob,bijela gorušica,cikorija,ječam,cikorija
15,Dio okoliša koji su ljudi naselili i prilagodili sebi naziva se:,antropofitocenoza,antroposfera,agrosfera,antrotop,antroposfera
16,Podzemni dio stabiljke zove se:,rudela,gomolj,korijen,rizom,rizom
17,"U odnosu na mlađe korovske biljke, starije korovske biljke:",imaju jači alelopatijski učinak,sadrže više fitotoksina,sadrže manje inhibitornih tvari,pokazuju veću plastičnost,sadrže manje inhibitornih tvari
18,Suncokret nepovoljno djeluje na rast:,ambrozije,cikorije,koštana,pirike,ambrozije
19,Pojava korova vezana je uz stvaranje:,agrosfere i agrofitocenoze,antroposfere i astenosfere,ekosfere i fitocenoze,antroposfere i agrosfere,antroposfere i agrosfere
20,"Na poljoprivrednim zemljištima, biljni sastav korova mijenja se:",ovisno o sustavu godišnje izmjene usjeva i obradi tla,ovisno o obradi tla i kolebanju ekoloških čimbenika,ovisno o njegovom potencijalu za proliferaciju,neovisno o poljoprivrednim zahvatima,ovisno o sustavu godišnje izmjene usjeva i obradi tla
21,Utjecaj koji jedna vrsta ima na rast i razvitak druge vrste naziva se:,anuliranje,alelopatija,fitopatija,anualnost,alelopatija
22,Korovi su se na poljoprivrednim površinama pojavili,"u mlađe kameno doba, pri stvaranju prvih agrofitocenoza","u starije kameno doba, pri stvaranju antroposfere","u mlađe kameno doba, pri stvaranju agrosfere","u starije kameno doba, pri stvaranju prvih fitocenoza","u mlađe kameno doba, pri stvaranju agrosfere"
23,Plodored se odnosi na:,sustav godišnje izmjene usjeva,način gnojenja kultura u svrhu restrikcije rasta i razvoja korova,uzgoj biljaka pri kojem je karakteristično okopavanje,broj jedinki zasađenih u jednom redu,sustav godišnje izmjene usjeva
24,Koji korov može pozitivno djelovati na raž?,troskot,trputac,poljska ljubica,slakoperka,poljska ljubica
25,Veća otpornost prema nepovoljnim biotskim čimbenicima odnosi se prvenstveno na otpornost prema:,inhibitornim tvarima,parazitskim biljkama,virusima i bakterijama,bolestima i štetnicima,bolestima i štetnicima
26,Poljoprivredno stanište u kojem raste neka biljka zove se:,agrobiosfera,agrosfera,biotop,agrobiotop,agrobiotop
27,Neki korovi biološku reprodukciju u nepovoljnim uvjetima osiguravaju putem:,neotenije,alelopatije,diploidije,domestikacije,neotenije
28,Veći stupanj domestikacije korova dovodi do:,smanjenja alelopatijskog djelovanja,bržeg širenja sjemenja,promjene ploidije korova,smanjenja dormantnosti,smanjenja dormantnosti
29,"Veći, bujniji i varijabilniji korovi imaju karakteristiku:",poliploidije,neotenije,dormantnosti,fertilizacije,poliploidije
30,Neotenija korova za posljedicu ima:,povećanu plastičnost,brzo sazrijevanje,prilagodbu kulturnim biljkama,stvaranje velikog broja sjemenki,povećanu plastičnost
31,Velika otpornost sjemenki korova na štetne eksterne utjecjaje proizlazi iz:,malih dimenzija sjemena,male mase sjemena,čvrste sjemene ljuske,kalijpozitivnosti sjemena,čvrste sjemene ljuske
32,Pojam poliploidija se odnosi na:,broj setova kromosoma,broj zigotnih stanica,broj alelopatijskih odnosa,broj izdanaka koji tvore stabljiku,broj setova kromosoma
33,Veću otpornost prema ekstremnim abiotskim utjecajima korovi mogu zahvaliti:,svom florističkom sastavu,pretežnoj diploidnosti i bujnosti,strukturi korijena i razgranatosti stabljike,većoj vitalnosti i većoj heterozigotnosti,većoj vitalnosti i većoj heterozigotnosti
34,Dormantnost je karakteristika korova koja se odnosi na:,mogućnost odgođenog klijanja,prilagodbu kulturnim biljkama,širenje sjemena isključivo u proljeće,klijanje usko vezano uz rast druge biljke,mogućnost odgođenog klijanja
